tconst	averageRating	numVotes
tt1104001	6.8	302556
tt0120667	5.7	302508
tt0910936	7.0	302261
tt0238380	7.4	301644
tt0081398	8.2	300875
tt1748122	7.8	300294
tt0117500	7.4	299882
tt0213149	6.2	299774
tt0166924	7.9	299734
tt0091042	7.8	299287
tt0120755	6.1	299036
tt0212338	7.0	298875
tt0462538	7.3	298710
tt0822854	7.2	298131
tt0119396	7.5	297566
tt0167190	6.8	297197
tt0477347	6.4	296890
tt0047478	8.6	295393
tt0347149	8.2	295272
tt0120601	7.7	295139
tt0887883	7.0	295053
tt1707386	7.6	293911
tt0077416	8.1	293428
tt1517451	7.7	293268
tt2788710	6.5	293172
tt1403865	7.6	293132
tt0790724	7.0	292706
tt0399201	6.8	292350
tt0425210	7.7	292057
tt0368891	6.8	291585
tt0970179	7.5	291532
tt0389860	6.4	291170
tt4633694	8.4	290634
tt0209163	6.3	289846
tt0087843	8.4	289567
tt1646971	7.8	289277
tt2109248	5.6	289265
tt0360486	7.0	288394
tt0433035	7.1	287858
tt0100802	7.5	285956
tt2322441	4.1	285858
tt0113497	7.0	285217
tt0386588	6.6	284418
tt0399295	7.6	283486
tt0944835	6.4	283229
tt1764651	6.6	282978
tt0163025	5.9	282885
tt0064116	8.5	282649
tt0120663	7.4	282213
tt2283362	6.9	282100
tt0453467	7.0	282073
tt0359950	7.3	281847
tt0110148	7.6	281680
tt0104431	6.7	281668
tt1125849	7.9	281402
tt6966692	8.2	281287
tt0053125	8.3	281162
tt1041829	6.7	280635
tt0056592	8.3	280438
tt0212720	7.2	280235
tt0129387	7.1	280102
tt1037705	6.9	279828
tt1951261	5.8	279682
tt1397280	6.2	279174
tt0147800	7.3	278668
tt0449467	7.4	278543
tt0107688	8.0	277944
tt0489099	6.1	277509
tt2194499	7.8	277428
tt1245526	7.0	277243
tt0472043	7.8	276615
tt0175880	8.0	276498
tt0381849	7.7	276200
tt0878804	7.6	275663
tt0071315	8.2	275345
tt0293662	6.8	275191
tt0379786	7.8	275138
tt0814314	7.6	275087
tt5095030	7.1	274188
tt1194173	6.7	274152
tt2004420	6.3	273203
